,video,vid_number,second,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203
0,vid,mov,0,376.804,381.15118,388.18408,394.38525,401.61182,413.26553,426.40988,445.532,477.04785,510.7508,535.9986,556.585,572.92285,580.37915,584.43243,587.7458,588.7843,381.71747,390.20697,403.14655,416.50705,429.41995,485.08936,498.75308,514.5373,532.42865,548.31744,459.1098,458.06747,456.96255,457.43536,445.44913,452.08908,462.08408,473.0114,481.77655,401.15778,407.8127,421.18945,434.57132,422.96863,409.7946,491.33755,502.54745,517.12933,528.44543,517.1535,502.54102,430.72528,439.1712,453.70905,462.941,472.40457,491.98862,508.18622,493.66556,480.99115,467.33215,454.2961,443.52533,434.09576,452.93402,464.03513,476.6485,505.62527,478.25327,466.2703,455.06232,225.67851,254.21727,279.9688,303.55515,328.90683,346.6654,355.9964,364.63617,367.88943,357.19443,344.30032,331.23602,310.64145,283.4818,258.49625,231.7756,202.60182,178.90204,164.40855,157.82259,156.19975,157.81192,151.6641,146.9225,145.11363,148.2564,160.59306,185.76619,201.83345,216.86635,231.2009,251.5038,250.75165,250.8163,248.492,247.48242,197.50148,188.40523,187.09053,193.10197,197.20918,199.66368,187.05869,178.18979,177.41226,183.915,187.86719,188.5562,295.95633,279.0864,267.64606,267.87042,265.65628,273.3788,289.09933,302.69183,310.3184,313.04834,312.7494,307.2496,295.34946,279.89578,277.28522,277.3416,289.01672,298.57257,300.69833,300.4352,0.0,7.894206,14.831736,23.96563,41.19844,68.792366,100.72588,130.2601,146.14285,139.82164,117.377335,91.010826,67.64119,52.87618,45.134445,39.472935,32.50809,89.55867,106.88433,121.07435,131.01373,137.08377,145.37476,143.22145,137.6481,128.26895,114.890854,150.26334,166.40375,182.61142,188.03256,154.5935,162.43353,167.513,165.8194,160.35112,106.54886,119.38526,121.90107,121.17642,122.964096,117.40163,129.32669,133.62523,130.83882,125.890175,133.64375,134.78683,136.5135,156.21516,168.46425,171.49539,171.59813,164.869,148.93779,161.88939,167.82903,167.5992,163.98904,153.99078,137.67084,162.04938,167.26097,166.13396,149.11302,164.6751,164.4107,160.12817
1,vid,mov,1,379.24164,382.60797,388.6811,393.8807,400.21478,411.23474,424.22546,443.32733,474.75162,508.81305,534.6364,555.51447,572.20386,580.2557,584.8327,588.8385,590.62823,386.28375,395.2245,408.29138,421.63205,434.37332,489.2394,502.88687,518.5622,536.14526,551.49664,462.6231,461.1084,459.62973,459.722,446.92752,453.7801,463.9228,475.0717,484.0356,405.08078,411.9727,425.1208,438.1386,426.5433,413.49405,494.40924,505.71228,520.51794,531.06335,519.85016,505.41806,429.0323,438.93073,455.05814,464.69446,474.592,495.2379,511.94034,495.48184,481.72037,467.44974,453.9491,442.6822,432.35876,453.45148,465.47357,478.9262,509.52576,479.577,466.7955,454.94858,224.54459,252.21608,277.2616,299.97833,324.00824,340.16965,347.92166,355.34927,358.5297,349.8294,339.41162,328.9214,310.815,285.48035,261.7323,236.04567,207.89871,175.59315,161.30524,154.7263,153.25854,155.13823,150.88922,146.67632,145.58359,149.6379,162.36894,181.8069,196.48111,210.1522,223.765,244.10971,243.48814,243.73859,241.75003,241.02663,193.2394,184.10715,183.12704,189.42966,192.87863,195.06075,185.18639,176.7619,177.36664,183.52132,186.56999,186.73071,286.63736,270.31372,259.64444,260.10287,258.1233,265.90118,281.55893,294.15152,300.61447,302.83588,302.4567,297.56982,286.24896,271.17975,268.9313,269.184,281.5053,289.70758,291.4057,291.08115,0.0,8.827347,16.772924,26.754604,44.71855,72.69602,104.4994,134.32394,150.56056,143.46353,120.46081,94.07157,70.32295,54.799614,46.064133,39.340572,31.36608,86.14718,102.67142,116.24548,125.93655,131.95131,139.86758,137.63681,132.15984,123.235466,110.52843,145.97102,162.4287,178.91437,184.74155,151.66682,159.40509,164.45518,162.55669,157.08418,103.39259,115.57763,117.96294,117.3842,119.36948,114.05367,125.23031,129.23268,123.61596,122.015816,129.6935,130.7589,132.11362,151.55753,164.11424,167.09366,167.1162,159.92473,144.1833,158.74821,165.82413,165.9134,162.08038,151.09404,132.94228,158.13387,163.28375,162.14845,144.18378,162.09297,162.19455,157.58832
2,vid,mov,2,374.01837,379.74792,388.11008,395.6506,405.28632,420.29095,437.08777,459.5775,492.73947,525.2389,547.40466,564.4581,577.5334,582.80676,585.51404,587.8542,587.6358,388.83453,399.0311,413.3996,427.81848,441.32706,497.08887,510.3262,525.30383,541.97595,556.31165,472.4942,473.61526,474.69617,476.0445,460.32816,467.96692,478.61862,489.29315,497.41754,410.4034,418.31894,431.70767,444.93896,433.73688,420.16046,502.04767,513.4809,527.5491,538.2497,528.10034,513.79224,442.55185,453.74646,470.44565,480.24408,489.8586,509.34412,524.4278,510.86835,498.6165,484.73746,471.02237,458.5178,445.93945,468.7749,480.94318,493.81927,521.9993,495.4574,483.12488,471.03906,232.57863,260.23566,285.1735,307.6661,331.33627,347.11307,354.47098,361.47968,363.5854,353.33704,341.5746,330.10812,311.2235,285.5737,261.59647,235.58751,207.22472,182.75908,167.90973,160.77293,158.6753,159.93163,153.27971,148.55972,146.89801,150.29568,162.66336,185.80528,200.78656,214.90883,228.72221,249.54446,248.66934,248.54417,246.12753,245.05107,199.70932,190.17465,188.61803,194.4901,198.43266,201.18776,187.85645,178.89029,178.66425,184.76817,188.25175,188.94208,292.97174,276.2171,264.9093,265.00412,262.63715,269.6944,284.85834,298.23135,305.4541,308.25558,308.32047,303.63052,292.44675,276.67697,273.97552,273.73734,284.87,294.3208,296.55377,296.61496,3.3917909,11.568618,18.513514,27.572317,44.367332,70.6333,100.60305,127.59236,139.7517,129.17796,103.84448,75.317215,49.904827,33.781372,24.863222,17.991095,10.082475,89.152306,104.834816,117.06103,125.22916,129.76607,131.3119,127.460884,120.11147,108.97558,94.244545,140.10089,156.50291,172.8943,178.47789,146.82951,153.73839,157.58249,154.50266,148.07121,103.90267,115.45494,116.34473,114.215965,117.48178,113.61528,115.55105,118.26562,111.91328,107.8462,116.8729,119.706085,129.61172,147.9903,158.57457,160.43533,159.36513,150.06667,132.47879,148.21751,156.36052,157.97289,155.79108,146.49083,130.15291,152.67914,156.40646,153.80318,132.8397,153.24525,154.6495,151.54106
3,vid,mov,3,375.56232,381.82703,390.78357,398.8126,408.25412,421.92963,436.47968,456.5414,488.4596,521.2219,544.96747,564.0024,578.5263,584.34973,586.9459,588.66516,587.79266,380.81677,389.1085,402.24948,415.99567,429.31363,484.99442,498.4154,514.0303,531.8347,547.95184,461.0484,461.55222,461.95074,463.46368,451.73877,458.49265,468.5256,478.9991,487.30365,402.01514,408.70642,422.0846,435.8522,424.54675,411.22888,492.73053,503.69983,517.7733,529.71313,518.8437,504.2284,439.55887,448.0516,461.70096,470.56635,479.35977,497.93298,513.8608,500.62146,489.0447,476.26324,463.7954,452.8629,442.9762,461.63016,472.13873,483.88928,511.19748,485.631,474.48038,463.76556,239.09178,268.05344,294.0945,317.7195,343.03265,361.5269,371.71603,380.18057,382.32242,370.27057,355.874,340.7573,318.22504,290.49207,265.0607,237.60515,207.77768,198.50577,185.23886,179.1649,177.71776,179.17653,170.74089,165.09549,162.01747,163.47243,173.66978,205.69339,222.95076,239.55304,254.4487,272.9915,272.60147,272.65964,269.64734,267.7552,217.0718,208.79794,206.89233,212.09138,216.80919,219.56082,203.77931,194.77634,192.96642,198.50475,203.55775,205.05179,315.72586,301.54178,291.13574,291.25385,288.62387,294.3032,305.90912,317.97455,325.56696,328.56985,328.91052,324.36075,314.75177,302.76016,300.24063,299.5865,305.77957,313.77835,316.17825,316.46844,0.0,5.6187987,10.396313,17.708025,33.14952,59.383278,90.667145,119.61085,134.272,127.88682,104.94248,78.329155,55.6286,42.304787,36.217644,32.577816,27.836964,93.45741,111.87322,126.23814,135.93037,141.5368,148.67484,146.4393,140.5141,130.30794,115.2174,151.41566,166.12723,181.16518,185.40889,151.23337,158.92583,163.5944,161.7988,156.12631,108.18947,121.50923,123.697105,122.11485,123.97335,118.62257,129.10367,133.7685,133.17967,124.81731,132.60214,134.13036,132.87645,152.57744,164.28099,166.79709,166.84103,159.65555,143.1826,155.40694,160.62619,160.52573,157.5092,148.9383,134.28285,156.98558,161.67244,160.25218,143.62228,158.26285,158.09561,154.66885
4,vid,mov,4,382.4175,387.89716,396.05545,403.43344,412.15533,425.27536,439.5558,459.50574,491.07977,523.60675,547.1805,565.98083,580.59204,586.8098,589.877,592.1985,592.0898,389.1025,397.75125,410.8887,424.43616,437.4797,492.6427,505.91888,521.2641,538.6491,554.16644,468.20544,468.33182,468.39117,469.5482,457.34116,464.0567,473.96384,484.3578,492.54883,409.56625,416.3722,429.5768,442.92133,431.7293,418.59906,499.259,510.24323,524.2242,535.6034,524.8495,510.5281,444.5384,453.03333,466.7154,475.52,484.32605,502.50845,517.7474,504.88303,493.40305,480.6259,468.1887,457.48544,447.9304,466.38345,476.8117,488.4655,515.15564,490.24088,479.133,468.497,237.27467,265.65555,291.25687,314.55627,339.5942,357.85248,368.069,376.94275,379.96173,368.68738,354.9987,340.74258,319.25482,292.22638,267.40158,240.69057,211.59203,195.99919,182.65846,176.74756,175.41576,176.99254,170.04854,164.97641,162.55818,164.67526,175.59224,204.434,221.23422,237.1878,251.68849,270.19955,269.73654,269.83975,267.2523,265.80255,214.66008,206.44547,204.95842,210.44026,214.79588,217.19186,203.63298,194.99397,193.52975,199.48051,204.04811,205.12653,312.6351,297.85596,287.34918,287.5759,285.25647,291.76596,304.6702,317.0899,324.6361,327.4105,327.33817,322.23517,311.8073,299.03397,296.5999,296.3481,304.52716,312.9611,315.13907,315.06885,0.19766778,6.025273,10.939165,18.206755,33.474613,59.255356,89.906235,118.04681,132.38342,125.96589,103.64782,77.59006,55.264805,42.119343,36.070435,32.24078,27.262602,91.299225,108.940765,122.86402,132.30376,137.7859,144.71329,142.4944,136.69438,126.797066,112.42646,147.827,162.60179,177.5577,181.90436,148.83235,156.27122,160.78806,158.9947,153.46312,106.12664,119.04637,121.15756,119.66042,121.54042,116.35908,126.430916,130.9012,129.68025,122.24064,129.89378,131.38339,131.3372,150.60231,161.95413,164.45697,164.38545,157.26018,140.94687,152.93521,158.22775,158.20985,155.30144,146.86441,132.66502,155.01341,159.63051,158.13916,141.34013,155.87247,155.78639,152.40236
5,vid,mov,5,381.9261,391.31357,402.86426,413.75424,427.78705,447.5758,468.59558,494.13916,527.9683,557.315,574.34155,586.3895,594.42786,595.41815,594.86926,593.95636,590.2341,402.35785,412.95676,428.0511,443.13422,457.1782,511.67188,523.83215,537.529,552.88214,566.25775,491.5772,496.15833,500.7136,504.08307,487.28946,495.34335,506.04968,515.6235,522.4257,427.1508,435.55365,448.75388,462.0778,451.8429,438.2208,517.81464,528.66315,541.9564,552.256,543.66437,529.98975,474.94336,485.59647,500.57162,509.85776,518.3594,535.591,548.7627,539.6391,530.0729,517.7387,504.86835,492.0337,478.44672,499.98517,511.084,522.30707,546.3145,525.3806,514.5887,503.36658,243.34956,269.46954,292.76743,313.48544,334.42474,346.55765,349.87936,352.49722,350.94943,339.29846,328.46854,318.32858,300.72446,276.56036,253.51761,228.27245,200.93231,186.45583,169.66469,160.50659,156.63754,156.41011,145.19116,139.88835,137.65042,140.56216,152.9341,178.583,191.97643,204.78009,217.96976,242.3276,240.26912,239.04662,236.13043,235.08585,200.4311,189.64642,186.91068,191.59332,196.17046,200.36191,180.39398,170.66582,168.9217,175.23932,178.78441,180.28792,287.67206,268.9717,255.92793,255.20172,252.31403,258.79425,273.76862,284.92294,292.0632,295.52338,296.74814,293.91788,286.5103,268.52106,264.78818,263.9755,273.733,281.14456,283.99838,285.16324,21.411804,30.741362,38.31142,48.03612,65.29817,90.58276,118.844864,143.1837,150.85207,136.24748,107.81269,76.53643,48.31707,29.667437,18.728863,9.794231,0.0,100.80035,114.11315,124.11026,130.36961,133.40762,127.60865,121.69205,112.33054,99.293335,83.692276,141.37106,158.30925,175.36517,181.78198,154.93106,160.76419,163.2391,158.78976,151.37236,113.86232,123.7301,122.84046,119.57281,124.35839,122.365715,113.42638,113.97819,109.524414,100.8895,111.33697,116.02205,147.31488,161.66632,168.22226,168.8653,166.53232,156.78296,140.07535,156.68642,165.54391,168.69331,168.4515,161.56393,147.71733,163.5803,165.42738,161.53716,140.94896,162.11407,164.73602,163.64313
6,vid,mov,6,375.50998,384.43518,395.65262,406.1131,419.0848,437.15555,456.14758,480.09583,513.58044,544.28094,563.8108,578.3378,588.36163,590.41895,590.3923,589.71954,586.2459,389.05774,398.4916,412.7769,427.39435,441.30966,496.68274,509.29068,523.77527,540.24945,555.0963,475.8168,479.30417,482.675,485.722,471.2461,478.83817,489.36832,499.33728,506.75485,413.1116,420.7156,434.11923,447.8995,437.26126,423.65564,504.34146,515.1109,528.8741,540.0151,530.576,516.42,459.99612,469.56906,483.82193,492.99286,501.60208,519.6581,534.31824,523.73303,513.4498,500.92154,488.13663,475.85312,463.47186,483.7033,494.58786,506.0904,531.7423,508.90744,497.94635,486.84787,242.9886,270.89624,295.7459,318.2973,342.19855,358.43527,366.1282,372.02432,371.40128,357.4967,342.52615,327.4311,305.1328,277.73914,252.65266,225.66286,196.51778,197.8576,183.0449,175.3881,172.4763,172.69113,160.27727,153.99582,150.27281,151.09134,161.08653,196.70804,213.0369,228.63931,243.01935,263.86572,262.60358,261.7247,258.13867,256.0205,214.22241,204.84763,201.98714,206.2896,211.67609,215.56479,193.93027,184.06711,181.36203,186.5309,191.86862,194.20943,308.1552,292.1004,280.0547,279.41495,276.20078,281.14655,292.9866,305.75223,313.9857,317.87708,319.15372,315.59418,306.93314,292.05066,288.57034,287.2009,293.03235,302.5228,305.70917,306.83865,1.1349019,7.0102177,11.625015,18.813038,33.89876,58.886456,88.43655,114.792564,125.37252,114.57778,88.51906,59.3075,34.20439,19.268154,11.923124,7.039822,1.3118441,91.431076,108.15046,120.628075,128.53998,132.55678,132.4349,128.28732,120.30897,107.94838,91.37996,139.49228,154.74892,170.2273,174.83809,143.04874,149.8305,153.26205,150.04878,143.29881,104.201324,116.34929,116.829926,113.78936,117.14994,113.54027,113.36686,116.247925,113.70408,104.17594,113.47542,116.90954,127.75405,145.80878,155.444,156.89546,155.71767,146.42657,128.44044,142.65541,149.59549,151.2064,149.76152,142.37221,128.65825,148.6801,151.98341,149.07793,129.18187,147.32278,148.64558,146.53542
